,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
296,pdz1,A2,sh31,PL0015,0,2,4.0,7.420999999999999,0.008000000000000007
297,pdz1,B2,sh33,PL0015,0,2,4.0,4.343999999999999,0.0040000000000000036
298,pdz3,C2,sh31,PL0015,0,2,4.0,6.5634999999999994,0.01200000000000001
299,pdz3,D2,sh33,PL0015,0,2,4.0,6.178499999999999,0.008000000000000007
300,sh31,E2,pdz1,PL0015,0,2,4.0,5.91,0.008000000000000007
301,sh31,F2,pdz3,PL0015,0,2,4.0,7.568500000000001,0.01200000000000001
302,sh33,G2,pdz1,PL0015,0,2,4.0,6.1175,0.008000000000000007
303,sh33,H2,pdz3,PL0015,0,2,4.0,10.9165,0.02400000000000002
304,pdz1,A3,sh31,PL0015,0,3,4.0,6.2780000000000005,0.0040000000000000036
305,pdz1,B3,sh33,PL0015,0,3,4.0,4.503,0.0040000000000000036
306,pdz3,C3,sh31,PL0015,0,3,4.0,7.4655,0.01200000000000001
307,pdz3,D3,sh33,PL0015,0,3,4.0,6.206999999999999,0.008000000000000007
308,sh31,E3,pdz1,PL0015,0,3,4.0,5.2065,0.008000000000000007
309,sh31,F3,pdz3,PL0015,0,3,4.0,6.837,0.01200000000000001
310,sh33,G3,pdz1,PL0015,0,3,4.0,6.489000000000002,0.008000000000000007
311,sh33,H3,pdz3,PL0015,0,3,4.0,8.661,0.020000000000000018
312,pdz1,A4,sh31,PL0015,5,1,4.0,12.396999999999998,0.020000000000000018
313,pdz1,B4,sh33,PL0015,5,1,4.0,4.974499999999999,0.0040000000000000036
314,pdz3,C4,sh31,PL0015,5,1,4.0,5.339,0.008000000000000007
315,pdz3,D4,sh33,PL0015,5,1,4.0,6.2265,0.008000000000000007
316,sh31,E4,pdz1,PL0015,5,1,4.0,19.4345,0.052000000000000046
317,sh31,F4,pdz3,PL0015,5,1,4.0,5.849500000000001,0.01200000000000001
318,sh33,G4,pdz1,PL0015,5,1,4.0,5.5969999999999995,0.008000000000000007
319,sh33,H4,pdz3,PL0015,5,1,4.0,8.9495,0.02400000000000002
320,pdz1,A5,sh31,PL0015,5,2,4.0,11.863,0.020000000000000018
